,Date,Time,Theoretical_Power_Curve (KWh),Wind Direction (°),LV ActivePower (kW),Wind Speed (m/s),Temperature (K),Pressure (Pa),Roughness_length (m)
0,2018-01-01,00:00:00,416.328907824861,259.994903564453,380.047790527343,5.31133604049682,267.57,98405.7,0.15
1,2018-01-01,01:00:00,557.3723632902248,266.163604736328,447.605712890625,5.79300785064697,267.55,98382.7,0.15
2,2018-01-01,02:00:00,824.6625135858818,274.23291015625,710.587280273437,6.54741382598876,267.54,98362.9,0.15
3,2018-01-01,03:00:00,773.172863451736,261.15869140625,736.647827148437,6.41508293151855,267.56,98340.9,0.15
4,2018-01-01,04:00:00,1497.58372354361,256.407409667968,1493.8079833984302,7.94310188293457,267.61,98336.8,0.15
5,2018-01-01,05:00:00,1060.85971215544,235.22790527343705,1164.89294433593,7.0982980728149405,267.55,98334.2,0.15
6,2018-01-01,06:00:00,1127.43320551345,248.40100097656202,1114.02697753906,7.239252090454099,267.52,98324.6,0.15
7,2018-01-01,07:00:00,966.279104864065,235.84829711914003,909.887817382812,6.8878211975097585,267.46,98345.1,0.15
8,2018-01-01,08:00:00,564.9276595434729,240.32879638671798,585.2593994140619,5.816825866699211,267.45,98394.9,0.15
9,2018-01-01,09:00:00,691.546334303948,199.848495483398,725.868103027343,6.19436883926391,267.6,98446.6,0.15
10,2018-01-01,10:00:00,872.739625855708,235.66749572753898,881.0620727539059,6.66665792465209,267.88,98486.0,0.15
11,2018-01-01,11:00:00,233.63278053192695,234.105606079101,233.99060058593705,4.55453395843505,268.19,98568.0,0.15
12,2018-01-01,12:00:00,185.598479588255,227.03999328613202,194.181198120117,4.323760986328121,268.46,98609.2,0.15
13,2018-01-01,13:00:00,336.721998240131,235.27949523925705,346.86441040039,5.00293922424316,268.53,98716.8,0.15
14,2018-01-01,14:00:00,618.731442665699,234.984405517578,589.0731201171869,5.981378078460691,268.48,98834.5,0.15
15,2018-01-01,15:00:00,1695.53877696245,236.461395263671,1616.8459472656198,8.28225994110107,268.35,98911.4,0.15
16,2018-01-01,16:00:00,3133.2592242018395,224.68060302734298,2812.27905273437,10.6475200653076,268.15,98999.0,0.15
17,2018-01-01,17:00:00,2207.79281988587,223.960906982421,2118.38989257812,9.09868335723876,268.07,99083.0,0.15
18,2018-01-01,18:00:00,2285.9170315439,212.179901123046,1958.1330566406202,9.218843460082999,267.9,99166.6,0.15
19,2018-01-01,19:00:00,3048.8238327855897,205.752899169921,2584.6650390625,10.4647703170776,267.75,99249.6,0.15
20,2018-01-01,20:00:00,3386.24448582472,199.80549621582,3209.01806640625,11.363539695739698,267.38,99299.1,0.15
21,2018-01-01,21:00:00,3597.4694674700395,201.582595825195,3604.2099609375,12.928139686584403,266.92,99355.0,0.15
22,2018-01-01,22:00:00,3597.79463518254,201.340896606445,3479.40795898437,12.963939666747999,266.45,99414.6,0.15
23,2018-01-01,23:00:00,3572.5561429255104,202.41180419921798,3570.0791015625,12.418809890747001,266.03,99489.6,0.15
24,2018-02-01,00:00:00,3591.30046108295,196.042205810546,3377.64990234375,12.705389976501401,265.72,99571.5,0.15
25,2018-02-01,01:00:00,3536.10513948266,197.952697753906,3467.80810546875,12.0960702896118,265.47,99650.6,0.15
26,2018-02-01,02:00:00,3600.0,196.25520324707,3604.17602539062,14.102419853210401,265.1,99725.8,0.15
27,2018-02-01,03:00:00,3600.0,191.013702392578,3395.23291015625,13.742329597473097,264.48,99808.4,0.15
28,2018-02-01,04:00:00,3585.76741417889,196.042297363281,3513.84497070312,12.5986604690551,263.74,99902.3,0.15
29,2018-02-01,05:00:00,3582.1110958274603,200.36340332031202,3555.30493164062,12.5416202545166,262.88,99984.0,0.15
30,2018-02-01,06:00:00,3463.03160296846,200.703506469726,3235.5439453125,11.6793298721313,262.36,100051.0,0.15
31,2018-02-01,07:00:00,3518.508247117229,199.402206420898,3417.74609375,11.9781303405761,261.83,100127.0,0.15
32,2018-02-01,08:00:00,3426.9224722697804,195.854705810546,3375.17700195312,11.520819664001401,261.4,100213.0,0.15
33,2018-02-01,09:00:00,3186.225079135,193.17039489746003,2978.31005859375,10.772899627685499,261.62,100301.0,0.15
34,2018-02-01,10:00:00,3600.0,196.345596313476,3597.56494140625,15.124059677124,261.89,100361.0,0.15
35,2018-02-01,11:00:00,3600.0,195.04029846191398,3601.8701171875,15.861749649047804,262.13,100411.0,0.15
36,2018-02-01,12:00:00,3600.0,203.289398193359,3537.67602539062,13.322810173034599,262.34,100456.0,0.15
37,2018-02-01,13:00:00,2190.7047631414302,198.236404418945,1278.89501953125,9.0723066329956,262.35,100502.0,0.15
38,2018-02-01,14:00:00,3238.7061584522,204.81379699707,3111.06005859375,10.907259941101,262.04,100544.0,0.15
39,2018-02-01,15:00:00,3395.9291651878602,205.625,3298.76196289062,11.399299621582001,261.65,100588.0,0.15
40,2018-02-01,16:00:00,3551.31873448443,201.715606689453,3493.97900390625,12.2135295867919,261.41,100623.0,0.15
41,2018-02-01,17:00:00,3600.0,203.440704345703,3602.63793945312,13.0772199630737,261.87,100659.0,0.15
42,2018-02-01,18:00:00,3550.5421173812797,189.52380371093705,3515.61010742187,12.2070798873901,262.06,100681.0,0.15
43,2018-02-01,19:00:00,3367.8051386683,192.858200073242,3061.73510742187,11.297969818115199,262.08,100680.0,0.15
44,2018-02-01,20:00:00,2687.68808162899,199.747406005859,2316.64794921875,9.83873844146728,262.07,100665.0,0.15
45,2018-02-01,21:00:00,3592.2690260433205,202.413299560546,3591.09301757812,12.7283201217651,263.0,100666.0,0.15
46,2018-02-01,22:00:00,2021.75423914516,187.48460388183497,1625.75598144531,8.809141159057608,263.84,100671.0,0.15
47,2018-02-01,23:00:00,1613.84771310931,181.65960693359298,1303.11694335937,8.14458179473876,264.64,100673.0,0.15
48,2018-03-01,00:00:00,3019.3326956261603,176.925598144531,2782.56811523437,10.405119895935,265.33,100667.0,0.15
49,2018-03-01,01:00:00,1323.91105222754,202.940505981445,1278.88696289062,7.626486778259269,265.99,100665.0,0.15
50,2018-03-01,02:00:00,717.8434981176241,211.200302124023,737.4487915039059,6.267045021057121,266.38,100680.0,0.15
51,2018-03-01,03:00:00,466.619713732775,150.281692504882,444.603607177734,5.49171495437622,266.65,100679.0,0.15
52,2018-03-01,04:00:00,1243.60005403349,154.783798217773,1214.1259765625,7.4722261428833,266.87,100674.0,0.15
53,2018-03-01,05:00:00,1149.01242363998,176.79319763183497,1153.13903808593,7.28374290466308,267.02,100665.0,0.15
54,2018-03-01,06:00:00,1584.39555144266,194.00929260253898,1568.8859863281198,8.094202995300291,267.22,100661.0,0.15
55,2018-03-01,07:00:00,2263.87309482431,190.007003784179,2108.77099609375,9.185004234313961,267.34,100659.0,0.15
56,2018-03-01,08:00:00,2328.30752557584,157.36599731445298,1941.46398925781,9.28379154205322,267.48,100658.0,0.15
57,2018-03-01,09:00:00,233.455863572107,148.05360412597602,189.137802124023,4.5537109375,268.01,100660.0,0.15
58,2018-03-01,10:00:00,269.205736737451,187.605194091796,309.511413574218,4.71614503860473,268.41,100694.0,0.15
59,2018-03-01,11:00:00,283.864666226719,187.940597534179,275.013610839843,4.78056287765502,268.51,100735.0,0.15
60,2018-03-01,12:00:00,969.634649871837,193.93670654296798,952.267578125,6.89550590515136,268.38,100768.0,0.15
61,2018-03-01,13:00:00,683.274791239476,189.276504516601,672.6187744140619,6.17117977142333,268.18,100796.0,0.15
62,2018-03-01,14:00:00,216.232972023662,205.37060546875,183.012802124023,4.472650051116942,267.71,100837.0,0.15
63,2018-03-01,15:00:00,554.125899356235,212.351104736328,493.355590820312,5.78271722793579,266.32,100866.0,0.15
64,2018-03-01,16:00:00,0.0,238.410293579101,-0.393067598342896,2.18588805198669,264.76,100887.0,0.15
65,2018-03-01,17:00:00,110.97960389872298,241.97309875488202,0.0,3.9078109264373695,263.63,100918.0,0.15
66,2018-03-01,18:00:00,304.953556101357,222.948898315429,262.80191040039,4.87110185623168,262.68,100952.0,0.15
67,2018-03-01,19:00:00,1323.35126981466,205.577392578125,1155.17395019531,7.62542915344238,261.97,100985.0,0.15
68,2018-03-01,20:00:00,1790.7677064291895,196.00830078125,1604.4270019531198,8.43941497802734,261.25,100994.0,0.15
69,2018-03-01,21:00:00,1729.8045769078,212.042404174804,1760.42297363281,8.33919143676757,260.83,101000.0,0.15
70,2018-03-01,22:00:00,1821.6383842468301,194.91389465332,1692.68896484375,8.48968791961669,260.44,101008.0,0.15
71,2018-03-01,23:00:00,952.75457863041,200.440994262695,994.582702636718,6.85667896270751,260.13,101029.0,0.15
72,2018-04-01,00:00:00,986.599776080699,196.39520263671798,1121.1669921875,6.93410682678222,259.84,101045.0,0.15
73,2018-04-01,01:00:00,1044.57969669083,192.735397338867,1116.48706054687,7.062949180603019,259.57,101052.0,0.15
74,2018-04-01,02:00:00,1277.72935520784,197.982803344726,1342.23901367187,7.538290977478019,259.37,101037.0,0.15
75,2018-04-01,03:00:00,1101.65375891013,198.135498046875,1122.3349609375,7.185342788696281,259.28,100998.0,0.15
76,2018-04-01,04:00:00,1254.9108716410801,192.13760375976503,1334.98095703125,7.4940800666809,259.13,100954.0,0.15
77,2018-04-01,05:00:00,276.524587456894,201.918502807617,283.259307861328,4.748462200164791,259.06,100920.0,0.15
78,2018-04-01,06:00:00,1351.56118687753,208.917297363281,1512.9720458984302,7.678398132324211,258.97,100881.0,0.15
