,Date,Time,Temperature (K),Wind_speed (m/s),Pressure (Pa),Roughness_length (m)
0,2018-01-01,01:00:00,267.57,7.80697,98405.7,0.15
1,2018-01-01,02:00:00,267.55,7.86199,98382.7,0.15
2,2018-01-01,03:00:00,267.54,8.598989999999999,98362.9,0.15
3,2018-01-01,04:00:00,267.56,7.894660000000001,98340.9,0.15
4,2018-01-01,05:00:00,267.61,7.57084,98336.8,0.15
5,2018-01-01,06:00:00,267.55,7.512860000000001,98334.2,0.15
6,2018-01-01,07:00:00,267.52,7.737089999999999,98324.6,0.15
7,2018-01-01,08:00:00,267.46,8.22162,98345.1,0.15
8,2018-01-01,09:00:00,267.45,7.766310000000001,98394.9,0.15
9,2018-01-01,10:00:00,267.6,7.7419899999999995,98446.6,0.15
10,2018-01-01,11:00:00,267.88,7.94384,98486.0,0.15
11,2018-01-01,12:00:00,268.19,7.75816,98568.0,0.15
12,2018-01-01,13:00:00,268.46,8.36008,98609.2,0.15
13,2018-01-01,14:00:00,268.53,7.953310000000001,98716.8,0.15
14,2018-01-01,15:00:00,268.48,7.98204,98834.5,0.15
15,2018-01-01,16:00:00,268.35,7.823339999999999,98911.4,0.15
16,2018-01-01,17:00:00,268.15,7.75725,98999.0,0.15
17,2018-01-01,18:00:00,268.07,6.54744,99083.0,0.15
18,2018-01-01,19:00:00,267.9,6.370080000000001,99166.6,0.15
19,2018-01-01,20:00:00,267.75,6.53155,99249.6,0.15
20,2018-01-01,21:00:00,267.38,6.72756,99299.1,0.15
21,2018-01-01,22:00:00,266.92,6.59175,99355.0,0.15
22,2018-01-01,23:00:00,266.45,7.05387,99414.6,0.15
23,2018-01-01,00:00:00,266.03,6.2946800000000005,99489.6,0.15
24,2018-01-02,01:00:00,265.72,6.40391,99571.5,0.15
25,2018-01-02,02:00:00,265.47,6.43341,99650.6,0.15
26,2018-01-02,03:00:00,265.1,6.60452,99725.8,0.15
27,2018-01-02,04:00:00,264.48,6.15885,99808.4,0.15
28,2018-01-02,05:00:00,263.74,6.21895,99902.3,0.15
29,2018-01-02,06:00:00,262.88,6.01095,99984.0,0.15
30,2018-01-02,07:00:00,262.36,4.9900199999999995,100051.0,0.15
31,2018-01-02,08:00:00,261.83,5.54831,100127.0,0.15
32,2018-01-02,09:00:00,261.4,5.62467,100213.0,0.15
33,2018-01-02,10:00:00,261.62,5.4429099999999995,100301.0,0.15
34,2018-01-02,11:00:00,261.89,5.25491,100361.0,0.15
35,2018-01-02,12:00:00,262.13,5.13207,100411.0,0.15
36,2018-01-02,13:00:00,262.34,4.89496,100456.0,0.15
37,2018-01-02,14:00:00,262.35,4.85002,100502.0,0.15
38,2018-01-02,15:00:00,262.04,4.31912,100544.0,0.15
